frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c, FE1, FE2, FE3, FE4, FE5, FE6, FE7, FE8, FE9, FE10, FE11, FE12, FE13, FE14, FE15, FE16, FE17, FE18, FE19, FE20, FE21
32, 0, 1.034, 0.98, 1, 0.95, 1.87, 0.00, 0.00, 0.25, 1.44, 0.00, 0.08, 0.71, 0.00, 0.00, 0.00, 0.33, 0.00, 0.99, 0.90, 0.79, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
33, 0, 1.068, 0.98, 1, 1.01, 1.80, 0.00, 0.00, 0.24, 1.71, 0.00, 0.08, 0.71, 0.00, 0.00, 0.00, 0.40, 0.00, 0.96, 0.90, 0.86, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
34, 0, 1.101, 0.98, 1, 0.93, 1.83, 0.00, 0.00, 0.22, 1.59, 0.00, 0.04, 0.74, 0.00, 0.00, 0.00, 0.34, 0.00, 0.97, 0.86, 0.83, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
35, 0, 1.134, 0.98, 1, 0.96, 1.85, 0.00, 0.00, 0.26, 1.55, 0.00, 0.00, 0.66, 0.00, 0.00, 0.00, 0.54, 0.00, 0.92, 0.74, 0.87, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
36, 0, 1.168, 0.98, 1, 0.99, 1.79, 0.00, 0.00, 0.24, 1.73, 0.00, 0.00, 0.66, 0.00, 0.00, 0.00, 0.51, 0.00, 0.89, 0.68, 0.88, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
37, 0, 1.201, 0.98, 1, 0.77, 1.89, 0.00, 0.00, 0.21, 1.54, 0.00, 0.00, 0.63, 0.00, 0.00, 0.00, 0.34, 0.00, 0.88, 0.83, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
38, 0, 1.235, 0.98, 1, 0.84, 1.93, 0.00, 0.00, 0.24, 0.97, 0.00, 0.00, 0.64, 0.00, 0.00, 0.00, 0.48, 0.00, 0.90, 0.78, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
39, 0, 1.268, 0.98, 1, 0.89, 1.82, 0.01, 0.00, 0.19, 1.61, 0.00, 0.00, 0.65, 0.00, 0.00, 0.00, 0.44, 0.00, 0.88, 0.73, 0.88, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
40, 0, 1.301, 0.98, 1, 0.91, 1.82, 0.00, 0.00, 0.30, 1.65, 0.00, 0.00, 0.73, 0.00, 0.00, 0.00, 0.37, 0.00, 0.86, 0.79, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
41, 0, 1.335, 0.98, 1, 0.99, 1.81, 0.00, 0.00, 0.23, 1.57, 0.00, 0.00, 0.70, 0.00, 0.00, 0.00, 0.33, 0.00, 0.82, 0.81, 0.88, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
42, 0, 1.368, 0.98, 1, 1.10, 1.97, 0.00, 0.00, 0.22, 1.41, 0.00, 0.00, 0.67, 0.00, 0.00, 0.00, 0.48, 0.00, 0.83, 0.77, 0.85, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
43, 0, 1.401, 0.98, 1, 0.96, 1.93, 0.00, 0.00, 0.24, 1.47, 0.00, 0.00, 0.65, 0.00, 0.00, 0.00, 0.47, 0.00, 0.81, 0.75, 0.89, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
44, 0, 1.435, 0.98, 1, 0.93, 1.97, 0.06, 0.00, 0.23, 1.57, 0.00, 0.00, 0.65, 0.00, 0.00, 0.00, 0.37, 0.00, 0.83, 0.84, 0.91, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
45, 0, 1.468, 0.98, 1, 1.04, 2.04, 0.00, 0.00, 0.23, 1.53, 0.00, 0.00, 0.62, 0.00, 0.00, 0.00, 0.35, 0.00, 0.84, 0.92, 0.89, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1
